datasetSpeciesName,acceptedName,namingAuthority
Eleocharis palustris,Eleocharis palustris (L.) Roem. & Schult.,Flora of North America
Elymus macrourus,Elymus macrourus (Turcz.) Tzvelev,Flora of North America
Equisetum arvense,Equisetum arvense L.,Flora of North America
Equisetum arvense s. alpestre,Equisetum arvense L.,Flora of North America
Equisetum arvense L.,Equisetum arvense L.,Flora of North America
Eriophorum scheuchzeri,Eriophorum scheuchzeri Hoppe,Flora of North America
Eriophorum scheuchzeri Hoppe,Eriophorum scheuchzeri Hoppe,Flora of North America
Eriophorum vaginatum,Eriophorum vaginatum L.,Flora of North America
Eriophorum vaginatum s. spissum,Eriophorum vaginatum L.,Flora of North America
Eriophorum vaginatum L.,Eriophorum vaginatum L.,Flora of North America
Eurybia sibirica,Eurybia sibirica (L.) G.L. Nesom,Flora of North America
Aster sibiricus,Eurybia sibirica (L.) G.L. Nesom,Flora of North America
Fragaria virginiana,Fragaria virginiana Duchesne,Flora of North America
Geocaulon lividum,Geocaulon lividum (Richardson) Fernald,Flora of North America
Geum macrophyllum,Geum macrophyllum Willd.,Flora of North America
Stenotheca tristis,Hieracium triste Willd. ex Spreng.,Flora of North America
Juncus ensifolius,Juncus ensifolius Wikstr.,Flora of North America
Juncus falcatus,Juncus falcatus E. Mey.,Flora of North America
Listera convallarioides,Listera convallarioides (Sw.) Nutt. ex Elliott,Flora of North America
Lycopodium clavatum,Lycopodium clavatum L.,Flora of North America
Malaxis monophyllos,Malaxis monophyllos (L.) Sw.,Flora of North America
Melica subulata,Melica subulata (Griseb.) Scribn.,Flora of North America
Parrya nudicaulis,Parrya nudicaulis (L.) Regel,Flora of North America
Parrya nudicaulis s. nudicaulis,Parrya nudicaulis (L.) Regel,Flora of North America
Parrya nudicaulis s. septentrionalis,Parrya nudicaulis (L.) Regel,Flora of North America
Pedicularis chamissonis,Pedicularis chamissonis Stev.,Flora of North America
Petasites frigidus,Petasites frigidus (L.) Fr.,Flora of North America
Petasites frigidus (L.) Fr.,Petasites frigidus (L.) Fr.,Flora of North America
Petasites frigidus s. frigidus,Petasites frigidus var. frigidus (L.) Fr.,Flora of North America
Petasites frigidus s. nivalis,Petasites frigidus var. frigidus (L.) Fr.,Flora of North America
Petasites frigidus ssp. frigidus,Petasites frigidus var. frigidus (L.) Fr.,Flora of North America
Petasites sagittatus,Petasites frigidus var. sagittatus (Banks ex Pursh) Cherniawsky,Flora of North America
Plantago macrocarpa,Plantago macrocarpa Cham. & Schltdl.,Flora of North America
Poa palustris,Poa palustris L.,Flora of North America
Polygonum aviculare,Polygonum aviculare L.,Flora of North America
Polypodium glycyrrhiza,Polypodium glycyrrhiza D.C. Eaton,Flora of North America
Potentilla norvegica,Potentilla norvegica L.,Flora of North America
Prenanthes alata,Prenanthes alata (Hook.) D. Dietr.,Flora of North America
Ranunculus reptans,Ranunculus flammula var. reptans (L.) Schltdl. ex E. Mey.,Flora of North America
Ranunculus occidentalis var. brevistylis,Ranunculus occidentalis var. brevistylis Greene,Flora of North America
Rorippa palustris s. palustris,Rorippa palustris ssp. palustris (L.) Besser,Flora of North America
Rorippa islandica ssp. fernaldiana,Rorippa palustris ssp. palustris (L.) Besser,Flora of North America
Rubus spectabilis,Rubus spectabilis Pursh,Flora of North America
Salix hastata,Salix hastata L.,Flora of North America
Saussurea angustifolia,Saussurea angustifolia (L.) D.C.,Flora of North America
Saussurea angustifolia var. angustifolia,Saussurea angustifolia var. angustifolia (Willd.) DC.,Flora of North America
Saussurea angustifolia s. yukonensis,Saussurea angustifolia var. yukonensis A.E. Porsild,Flora of North America
Silene acaulis,Silene acaulis (L.) Jacq.,Flora of North America
Silene acaulis s. acaulis,Silene acaulis (L.) Jacq.,Flora of North America
Silene acaulis s. subacaulescens,Silene acaulis (L.) Jacq.,Flora of North America
Silene acaulis s.l.,Silene acaulis (L.) Jacq.,Flora of North America
Silene acaulis ssp. subacaulescens,Silene acaulis (L.) Jacq.,Flora of North America
Silene williamsii,Silene williamsii Britton,Flora of North America
Solidago multiradiata,Solidago multiradiata Aiton,Flora of North America
Solidago multiradiata s. multiradiata,Solidago multiradiata Aiton,Flora of North America
Sorbus scopulina,Sorbus scopulina Greene,Flora of North America
"Taraxacum alaskanum aggregate; Subsectio ""Arctica"" p. p.",Taraxacum alaskanum Rydb.,Flora of North America
Taraxacum ceratophorum aggregate,Taraxacum ceratophorum (Ledeb.) DC.,Flora of North America
Taraxacum ceratophorum,Taraxacum ceratophorum (Ledeb.) DC.,Flora of North America
Taraxacum species,Taraxacum F.H. Wigg.,Flora of North America
Trichophorum cespitosum [s. cespitosum,Trichophorum cespitosum (L.) Schur,Flora of North America
Trichophorum cespitosum s. cespitosum,Trichophorum cespitosum (L.) Schur,Flora of North America
Trichophorum caespitosum,Trichophorum cespitosum (L.) Schur,Flora of North America
Trichophorum cespitosum,Trichophorum cespitosum (L.) Schur,Flora of North America
Trichophorum cespitosum (L.) Hartm.,Trichophorum cespitosum (L.) Schur,Flora of North America
Vaccinium uliginosum,Vaccinium uliginosum L.,Flora of North America
Vaccinium uliginosum s. microphyllum,Vaccinium uliginosum L.,Flora of North America
Vaccinium uliginosum s. uliginosum,Vaccinium uliginosum L.,Flora of North America
Vaccinium uliginosum subsp. microphyllum,Vaccinium uliginosum L.,Flora of North America
Vaccinium uliginosum L.,Vaccinium uliginosum L.,Flora of North America
Allium schoenoprasum,Allium schoenoprasum L.,Flora of North America
Arctanthemum arcticum ssp. polare,Arctanthemum arcticum ssp. polare (Hultén) Tzvelev,Flora of North America
Betula neoalaskana,Betula neoalaskana Sarg.,Flora of North America
Bistorta elliptica,"Bistorta elliptica (Willd. ex Spreng.) Kom. ex V.V. Petrovsky, D.F. Murray & Elven",Flora of North America
Bistorta vivipara,Bistorta vivipara (L.) Delarbre,Flora of North America
Brachythecium velutinum,Brachytheciastrum velutinum (Hedw.) Ignatov & Huttunen,Flora of North America
Campylium longicuspis,Campylium longicuspis (Lindb. & Arnell) Hedenäs,Flora of North America
Campylopus flexuosus,Campylopus flexuosus (Hedw.) Brid.,Flora of North America
Dicranum flexicaule,Dicranum fuscescens var. flexicaule (Brid.) Wilson,Flora of North America
Draba alpina,Draba alpina L.,Flora of North America
Dryas octopetala,Dryas octopetala L.,Flora of North America
Encalypta vulgaris,Encalypta vulgaris Hedw.,Flora of North America
Eriophorum angustifolium Honck. ssp. triste (Th. Fr.) Hultén,Eriophorum angustifolium ssp. triste (Th. Fr.) Hultén,Flora of North America
Eriophorum scheuchzeri s. scheuchzer,Eriophorum scheuchzeri Hoppe,Flora of North America
Eriophorum scheuchzeri s. scheuchzeri,Eriophorum scheuchzeri Hoppe,Flora of North America
Hypnum holmenii,Hypnum holmenii Ando,Flora of North America
Parrya arctica,Parrya arctica R. Br.,Flora of North America
Primula stricta,Primula stricta Hornem.,Flora of North America
Rhodiola rosea,Rhodiola rosea L.,Flora of North America
Salix brachycarpa [v. brachycarpa,Salix brachycarpa var. brachycarpa Nutt.,Flora of North America
Saxifraga bronchialis,Saxifraga bronchialis L.,Flora of North America
Trientalis borealis,Trientalis borealis Raf.,Flora of North America
Huperzia selago,Huperzia selago (L.) Bernh. ex Schrank & Mart.,Gilman and Testo 2015
Lycopodium selago s.l.,Huperzia selago (L.) Bernh. ex Schrank & Mart.,Gilman and Testo 2015
Huperzia selago (L.) Bernh. ex Schrank & Mart.,Huperzia selago (L.) Bernh. ex Schrank & Mart.,Gilman and Testo 2015
Lycopodium selago,Huperzia selago (L.) Bernh. ex Schrank & Mart.,Gilman and Testo 2015
Alnus viridis,Alnus alnobetula (Ehrh.) K. Koch,Greuter and von Raab-Straube 2011
Alnus viridis s. crispa,Alnus alnobetula ssp. fruticosa (Rupr.) Raus.,Greuter and von Raab-Straube 2011
Alnus viridis s. fruticosa,Alnus alnobetula ssp. fruticosa (Rupr.) Raus.,Greuter and von Raab-Straube 2011
Alnus fruticosa,Alnus alnobetula ssp. fruticosa (Rupr.) Raus.,Greuter and von Raab-Straube 2011
Alnus viridis ssp. fruticosa,Alnus alnobetula ssp. fruticosa (Rupr.) Raus.,Greuter and von Raab-Straube 2011
Claytonia scammaniana,Claytonia scammaniana Hultén,Ickert-Bond et al. 2019
Rhytidiadelphus triquetrus,Hylocomiadelphus triquetrus (Hedw.) Ochyra & Stebel,Ignatov et al. 2019
Lycopodium annotinum s. alpestre,Spinulum annotinum ssp. alpestre (Hartm.) Uotila,Kurtto and Uotila 2019
Orthotrichum speciosum,"Lewinskya speciosa (Nees) F. Lara, Garilleti & Goffinet",Lara et al. 2016
Racomitrium species,Racomitrium Brid.,Larraín et al. 2013
Racomitrium,Racomitrium Brid.,Larraín et al. 2013
Racomitrium canescens,Racomitrium canescens (Hedw.) Brid.,Larraín et al. 2013
Racomitrium elongatum,Racomitrium elongatum Frisvoll,Larraín et al. 2013
Racomitrium ericoides,Racomitrium ericoides (F. Weber ex Brid.) Brid.,Larraín et al. 2013
Racomitrium fasciculare,Racomitrium fasciculare (Kindb.) Kindb.,Larraín et al. 2013
Racomitrium lanuginosum,Racomitrium lanuginosum (Hedw.) Brid.,Larraín et al. 2013
Racomitrium macounii,Racomitrium macounii Kindb.,Larraín et al. 2013
Racomitrium muticum,Racomitrium muticum (Kindb.) Frisvoll,Larraín et al. 2013
Racomitrium panschii,Racomitrium panschii (Müll. Hal.) Kindb.,Larraín et al. 2013
Racomitrium sudeticum,Racomitrium sudeticum (Funck) Bruch & Schimp.,Larraín et al. 2013
Trientalis europaea,Lysimachia europaea (L.) U. Manns & Anderb.,Manns and Anderberg 2009
Trientalis europaea s. europaea,Lysimachia europaea ssp. europaea (L.) U. Manns & Anderb.,Manns and Anderberg 2009
Cladonia coniocraea,Cladonia coniocraea (Flörke) Spreng.,McCune et al. 2018
Cladonia cf. Straminea,Cladonia straminea (Sommerf.) Flörke,McCune et al. 2018
Endocarpon pusillum,Endocarpon pusillum Hedw.,McCune et al. 2018
Minuartia arctica,Cherleria arctica (Stev. ex Ser.) A.J. Moore & Dillenb.,Moore and Dillenberger 2017
Cherleria arctica,Cherleria arctica (Stev. ex Ser.) A.J. Moore & Dillenb.,Moore and Dillenberger 2017
Minuartia biflora,Cherleria biflora (L.) A.J. Moore & Dillenb.,Moore and Dillenberger 2017
Minuartia obtusiloba,Cherleria obtusiloba (Rydb.) A.J. Moore & Dillenb.,Moore and Dillenberger 2017
Minuartia yukonensis,Cherleria yukonensis (Hultén) A.J. Moore & Dillenb.,Moore and Dillenberger 2017
Campanula uniflora,Melanocalyx uniflora (L.) Morin,Morin 2020
Anemone richardsonii,Anemonastrum richardsonii (Hook.) Mosyakin,Mosyakin 2016
Anemonastrum richardsonii,Anemonastrum richardsonii (Hook.) Mosyakin,Mosyakin 2016
Anemone sibirica,Anemonastrum sibiricum (L.) Holub,Mosyakin 2016
Anemone sibirica taxon interior,Anemonastrum sibiricum (L.) Holub,Mosyakin 2016
Anemonastrum sibiricum,Anemonastrum sibiricum (L.) Holub,Mosyakin 2016
Anemone villosissima,Anemonastrum villosissimum (DC.) Holub,Mosyakin 2016
Anemone multiceps,Pulsatilla multiceps Greene,Mosyakin 2016
Anemone patens multifida,Pulsatilla nuttalliana (DC.) Bercht. & J. Presl,Mosyakin 2016
Leptogium species,Leptogidium Nyl.,Muggia et al. 2011
Tuckermanopsis inermis,"Masonhalea inermis (Nyl.) Lumbsch, M. Nelsen & A. Thell",Nelsen et al. 2013
Leptogium gelatinosum,"Scytinium gelatinosum (With.) Otálora, P.M. Jørg. & Wedin",Otálora et al. 2013
Leptogium lichenoides,"Scytinium lichenoides (L.) Otálora, P.M. Jørg. & Wedin",Otálora et al. 2013
Achillea lanulosa,Achillea L.,Panarctic Flora Project Checklist
Achillea millefolium s. borealis,Achillea millefolium ssp. borealis (Bong.) Breitung,Panarctic Flora Project Checklist
Achillea millefolium subsp. borealis,Achillea millefolium ssp. borealis (Bong.) Breitung,Panarctic Flora Project Checklist
Aconitum delphiniifolium,Aconitum delphiniifolium DC.,Panarctic Flora Project Checklist
Aconitum delphinifolium [s. delphinifolium,Aconitum delphiniifolium ssp. delphiniifolium DC.,Panarctic Flora Project Checklist
Aconitum delphinifolium s. delphinifolium,Aconitum delphiniifolium ssp. delphiniifolium DC.,Panarctic Flora Project Checklist
Aconitum delphinifolium s. paradoxum,Aconitum delphiniifolium ssp. delphiniifolium DC.,Panarctic Flora Project Checklist
Aconogonon alaskanum,Aconogonon alaskanum (W. Wight ex Harshb.) Soják,Panarctic Flora Project Checklist
Aconogonon alaskanum v. alaskanum,Aconogonon alaskanum var. alaskanum (W. Wight ex Harshb.) Soják,Panarctic Flora Project Checklist
Actaea rubra [s. rubra,Actaea rubra ssp. rubra (Aiton) Willd.,Panarctic Flora Project Checklist
Adoxa moschatellina,Adoxa moschatellina L.,Panarctic Flora Project Checklist
Agrostis exarata,Agrostis exarata Trin.,Panarctic Flora Project Checklist
Agrostis species,Agrostis L.,Panarctic Flora Project Checklist
Agrostis mertensii,Agrostis mertensii Trin.,Panarctic Flora Project Checklist
Agrostis scabra,Agrostis scabra Willd.,Panarctic Flora Project Checklist
Alnus incana s. tenuifolia,Alnus incana ssp. tenuifolia (Nutt.) Breitung,Panarctic Flora Project Checklist
Alopecurus aequalis,Alopecurus aequalis Sobol.,Panarctic Flora Project Checklist
Alopecurus alpinus,Alopecurus borealis Trin.,Panarctic Flora Project Checklist
Alopecurus borealis,Alopecurus borealis Trin.,Panarctic Flora Project Checklist
Alopecurus magellanicus,Alopecurus borealis Trin.,Panarctic Flora Project Checklist
Andromeda polifolia,Andromeda polifolia L.,Panarctic Flora Project Checklist
Andromeda polifolia L.,Andromeda polifolia L.,Panarctic Flora Project Checklist
Androsace chamaejasme s. andersonii,Androsace chamaejasme ssp. andersonii (Hultén) Hultén,Panarctic Flora Project Checklist
Androsace chamaejasme ssp. lehmannia,Androsace chamaejasme ssp. andersonii (Hultén) Hultén,Panarctic Flora Project Checklist
Androsace chamaejasme,Androsace chamaejasme Wulfen,Panarctic Flora Project Checklist
Androsace septentrionalis,Androsace septentrionalis L.,Panarctic Flora Project Checklist
Anemone species,Anemone L.,Panarctic Flora Project Checklist
Anemone sp.,Anemone L.,Panarctic Flora Project Checklist
Anemone drummondii v. lithophila,Anemone lithophila Rydb.,Panarctic Flora Project Checklist
Anemone lithophila,Anemone lithophila Rydb.,Panarctic Flora Project Checklist
Anemone parviflora,Anemone parviflora Michx.,Panarctic Flora Project Checklist
Anemone parviflora Michx.,Anemone parviflora Michx.,Panarctic Flora Project Checklist
Angelica gmelinii,Angelica gmelinii (DC.) Pimenov,Panarctic Flora Project Checklist
Antennaria alpina,Antennaria alpina (L.) Gaertn.,Panarctic Flora Project Checklist
Antennaria friesiana,Antennaria friesiana (Trautv.) E. Ekman,Panarctic Flora Project Checklist
Antennaria friesiana s.l.,Antennaria friesiana (Trautv.) E. Ekman,Panarctic Flora Project Checklist
Antennaria friesiana ssp. alaskana,Antennaria friesiana ssp. alaskana (Malte) Hultén,Panarctic Flora Project Checklist
Antennaria species,Antennaria Gaertn.,Panarctic Flora Project Checklist
Antennaria sp.,Antennaria Gaertn.,Panarctic Flora Project Checklist
Antennaria media,Antennaria media Greene,Panarctic Flora Project Checklist
Antennaria monocephala,Antennaria monocephala DC.,Panarctic Flora Project Checklist
Antennaria pulcherrima [s. pulcherrima,Antennaria pulcherrima ssp. pulcherrima (Hook.) Greene,Panarctic Flora Project Checklist
Antennaria rosea,Antennaria rosea Greene,Panarctic Flora Project Checklist
Antennaria rosea s. pulvinata,Antennaria rosea ssp. pulvinata (Greene) R.J. Bayer,Panarctic Flora Project Checklist
Anthoxanthum odoratum,Anthoxanthum odoratum L.,Panarctic Flora Project Checklist
Anticlea elegans,Anticlea elegans (Pursh) Rydb.,Panarctic Flora Project Checklist
Aphragmus eschscholtzianus,Aphragmus eschscholtzianus Andrz. ex DC.,Panarctic Flora Project Checklist
Arabidopsis kamchatica,Arabidopsis kamchatica (Fisch. ex DC.) K. Shimizu & Kudoh,Panarctic Flora Project Checklist
Arctagrostis arundinacea,Arctagrostis arundinacea (Trin.) Beal,Panarctic Flora Project Checklist
Arctagrostis latifolia,Arctagrostis latifolia (R. Br.) Griseb.,Panarctic Flora Project Checklist
Arctagrostis latifolia (R. Br.) Griseb.,Arctagrostis latifolia (R. Br.) Griseb.,Panarctic Flora Project Checklist
Arctanthemum arcticum,Arctanthemum arcticum (L.) Tzvelev,Panarctic Flora Project Checklist
Arctophila fulva,Arctophila fulva (Trin.) Rupr. ex Andersson,Panarctic Flora Project Checklist
Arctophila fulva (Trin.) Rupr. ex Andersson,Arctophila fulva (Trin.) Rupr. ex Andersson,Panarctic Flora Project Checklist
Arctopoa eminens,Arctopoa eminens (J. Presl) Prob.,Panarctic Flora Project Checklist
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi (L.) Spreng.,Panarctic Flora Project Checklist
Arctous alpina,Arctous alpina (L.) Nied.,Panarctic Flora Project Checklist
Arctostaphylos alpina (L.) Spreng.,Arctous alpina (L.) Nied.,Panarctic Flora Project Checklist
Arctous rubra,Arctous rubra (Rehder & Wilson) Nakai,Panarctic Flora Project Checklist
Arctostaphylos rubra (Rehder & Wilson) Fernald,Arctous rubra (Rehder & Wilson) Nakai,Panarctic Flora Project Checklist
Arenaria humifusa,Arenaria humifusa Wahlenb.,Panarctic Flora Project Checklist
Arenaria longipedunculata,Arenaria longipedunculata Hultén,Panarctic Flora Project Checklist
